TransactionID,Region,SalesRep,Amount,Salary,ClientName,Date
TXN0108,Europe,Alice Martin,4195.89,62000,BNP Paribas FR,2024-03-25
TXN0109,Europe,Alice Martin,5595.56,62000,Barclays UK,2024-07-18
TXN0110,Europe,Clara Russo,4985.73,71000,BNP Paribas FR,2024-05-15
TXN0111,Europe,Bob Dupont,36540.88,58000,ING NL,2024-12-17
TXN0112,Europe,Bob Dupont,40859.21,58000,Santander ES,2024-04-25
TXN0113,Asie,Emma Zhang,21203.92,68000,MUFG JP,2024-08-14
TXN0114,Europe,Bob Dupont,12721.96,58000,ING NL,2024-07-06
TXN0115,Europe,Alice Martin,6089.1,62000,Barclays UK,2024-03-06
TXN0116,Europe,Clara Russo,7738.94,71000,BNP Paribas FR,2024-03-01
TXN0117,Europe,Bob Dupont,3069.51,58000,BNP Paribas FR,2024-12-19
TXN0118,Asie,Emma Zhang,16433.96,68000,DBS SG,2024-12-28
TXN0119,Asie,Emma Zhang,88868.19,68000,DBS SG,2024-11-04
TXN0120,Afrique,Fatou Diallo,11586.94,51000,Standard Bank ZA,2024-11-21
TXN0121,Afrique,David Osei,18825.95,54000,Attijariwafa MA,2024-06-20
TXN0122,Asie,Kenji Mori,17383.19,65000,DBS SG,2024-04-25
TXN0123,Europe,Alice Martin,8159.09,62000,BNP Paribas FR,2024-05-29
TXN0124,Afrique,Fatou Diallo,22348.35,51000,Standard Bank ZA,2024-05-16
TXN0125,Asie,Emma Zhang,84364.94,68000,DBS SG,2024-05-18
TXN0126,Europe,Bob Dupont,3073.7,58000,BNP Paribas FR,2024-04-05
TXN0127,Afrique,David Osei,2586.88,54000,Attijariwafa MA,2024-01-12
TXN0128,Afrique,David Osei,105704.09,54000,Ecobank GH,2024-02-14
TXN0129,Europe,Alice Martin,10770.62,62000,Barclays UK,2024-09-29
TXN0130,Europe,Clara Russo,77167.46,71000,Barclays UK,2024-03-06
TXN0131,Europe,Bob Dupont,3538.81,58000,Santander ES,2024-04-12
TXN0132,Asie,Kenji Mori,28911.43,65000,ICBC CN,2024-04-23
TXN0133,Afrique,Fatou Diallo,8320.47,51000,Attijariwafa MA,2024-07-01
TXN0134,Afrique,David Osei,10980.42,54000,Attijariwafa MA,2024-07-01
TXN0135,Afrique,David Osei,20032.06,54000,Attijariwafa MA,2024-03-04
TXN0136,Europe,Alice Martin,14893.82,62000,ING NL,2024-03-24
TXN0137,Europe,Clara Russo,28932.67,71000,Barclays UK,2024-12-19
TXN0138,Afrique,David Osei,12601.08,54000,Attijariwafa MA,2024-02-14
TXN0139,Europe,Clara Russo,4856.74,71000,Barclays UK,2024-10-06
TXN0140,Europe,Bob Dupont,4657.42,58000,Santander ES,2024-07-31
TXN0141,Europe,Clara Russo,8946.81,71000,Santander ES,2024-01-10
TXN0142,Asie,Emma Zhang,2719.84,68000,DBS SG,2024-09-18
TXN0143,Europe,Bob Dupont,13859.94,58000,ING NL,2024-06-07
TXN0144,Afrique,David Osei,24009.79,54000,Ecobank GH,2024-02-15
TXN0145,Europe,Alice Martin,7472.59,62000,Allianz DE,2024-12-21
TXN0146,Asie,Emma Zhang,44502.89,68000,ICBC CN,2024-04-19
TXN0147,Europe,Bob Dupont,25482.28,58000,BNP Paribas FR,2024-04-24
TXN0148,Afrique,David Osei,11098.81,54000,Ecobank GH,2024-12-14
TXN0149,Europe,Alice Martin,5795.68,62000,ING NL,2024-07-01
TXN0150,Afrique,David Osei,17872.1,54000,Standard Bank ZA,2024-01-10
TXN0151,Europe,Bob Dupont,16512.75,58000,Santander ES,2024-11-02
TXN0152,Europe,Bob Dupont,14892.12,58000,BNP Paribas FR,2024-02-08
TXN0153,Europe,Clara Russo,17568.7,71000,BNP Paribas FR,2024-01-03
TXN0154,Europe,Alice Martin,127034.44,62000,Barclays UK,2024-12-18
TXN0155,Asie,Kenji Mori,4798.74,65000,MUFG JP,2024-09-26
TXN0156,Afrique,Fatou Diallo,2307.38,51000,Ecobank GH,2024-10-20
TXN0157,Europe,Clara Russo,6575.8,71000,Allianz DE,2024-11-05
TXN0158,Asie,Kenji Mori,56784.82,65000,MUFG JP,2024-01-07
TXN0159,Europe,Bob Dupont,5569.72,58000,Barclays UK,2024-04-01
TXN0160,Asie,Kenji Mori,1015.62,65000,ICBC CN,2024-10-17
TXN0161,Asie,Kenji Mori,10990.66,65000,MUFG JP,2024-10-06
TXN0162,Afrique,David Osei,7077.48,54000,Ecobank GH,2024-08-09
TXN0163,Europe,Clara Russo,4664.65,71000,Allianz DE,2024-02-11
TXN0164,Europe,Clara Russo,1620.88,71000,Barclays UK,2024-08-25
TXN0165,Afrique,Fatou Diallo,2297.43,51000,Attijariwafa MA,2024-07-12
TXN0166,Europe,Alice Martin,2850.05,62000,BNP Paribas FR,2024-03-31
TXN0167,Europe,Clara Russo,3582.65,71000,ING NL,2024-11-02
TXN0168,Europe,Alice Martin,250000.0,62000,BNP Paribas FR,2024-10-25
TXN0169,Afrique,Fatou Diallo,3275.15,51000,Standard Bank ZA,2024-06-22
TXN0170,Europe,Alice Martin,20127.99,62000,Santander ES,2024-08-04
TXN0171,Europe,Clara Russo,106344.29,71000,BNP Paribas FR,2024-04-26
TXN0172,Asie,Kenji Mori,9953.37,65000,MUFG JP,2024-04-23
TXN0173,Asie,Kenji Mori,33955.46,65000,DBS SG,2024-08-06
TXN0174,Europe,Clara Russo,8506.73,71000,BNP Paribas FR,2024-03-01
TXN0175,Afrique,Fatou Diallo,11377.72,51000,Attijariwafa MA,2024-06-15
TXN0176,Europe,Bob Dupont,10038.59,58000,ING NL,2024-02-12
TXN0177,Afrique,Fatou Diallo,9704.4,51000,Ecobank GH,2024-03-12
TXN0178,Europe,Alice Martin,6860.99,62000,BNP Paribas FR,2024-03-04
TXN0179,Europe,Bob Dupont,23525.64,58000,ING NL,2024-07-07
TXN0180,Asie,Kenji Mori,16099.04,65000,ICBC CN,2024-09-05
TXN0181,Europe,Clara Russo,20375.89,71000,Barclays UK,2024-12-25
TXN0182,Europe,Alice Martin,13361.08,62000,ING NL,2024-07-03
TXN0183,Europe,Clara Russo,5620.24,71000,ING NL,2024-07-14
TXN0184,Afrique,David Osei,11887.66,54000,Standard Bank ZA,2024-01-16
TXN0185,Asie,Kenji Mori,164687.0,65000,MUFG JP,2024-08-22
TXN0186,Europe,Bob Dupont,21226.72,58000,Barclays UK,2024-07-27
TXN0187,Asie,Kenji Mori,5347.22,65000,MUFG JP,2024-01-03
TXN0188,Europe,Alice Martin,18276.83,62000,Barclays UK,2024-05-16
TXN0189,Asie,Emma Zhang,3516.09,68000,MUFG JP,2024-02-04
TXN0190,Afrique,Fatou Diallo,18311.77,51000,Attijariwafa MA,2024-10-31
TXN0191,Europe,Clara Russo,23769.82,71000,Allianz DE,2024-09-08
TXN0192,Europe,Alice Martin,40656.99,62000,Santander ES,2024-02-06
TXN0193,Asie,Kenji Mori,23047.31,65000,ICBC CN,2024-03-28
TXN0194,Europe,Alice Martin,7586.84,62000,BNP Paribas FR,2024-12-23
TXN0195,Afrique,David Osei,18333.05,54000,Ecobank GH,2024-08-17
TXN0196,Asie,Kenji Mori,9408.74,65000,ICBC CN,2024-08-22
TXN0197,Asie,Emma Zhang,11799.52,68000,ICBC CN,2024-10-28
TXN0198,Afrique,David Osei,16043.76,54000,Standard Bank ZA,2024-07-14
TXN0199,Europe,Clara Russo,78103.52,71000,Barclays UK,2024-10-31
TXN0200,Asie,Kenji Mori,10054.54,65000,DBS SG,2024-06-17
TXN0201,Europe,Alice Martin,16511.54,62000,ING NL,2024-04-01
TXN0202,Afrique,Fatou Diallo,8550.14,51000,Ecobank GH,2024-04-07
TXN0203,Europe,Clara Russo,1622.84,71000,Allianz DE,2024-03-01
TXN0204,Europe,Alice Martin,106172.48,62000,ING NL,2024-06-01
TXN0205,Europe,Bob Dupont,2120.41,58000,Santander ES,2024-07-03
TXN0206,Afrique,Fatou Diallo,9007.11,51000,Ecobank GH,2024-05-13
TXN0207,Europe,Bob Dupont,12411.9,58000,Barclays UK,2024-03-07
TXN0208,Europe,Clara Russo,8943.23,71000,BNP Paribas FR,2024-09-07
TXN0209,Europe,Bob Dupont,63579.95,58000,Barclays UK,2024-09-01
TXN0210,Europe,Alice Martin,106806.49,62000,Barclays UK,2024-11-30
TXN0211,Afrique,David Osei,54879.45,54000,Standard Bank ZA,2024-06-17
TXN0212,Asie,Kenji Mori,108306.61,65000,ICBC CN,2024-07-14
TXN0213,Afrique,Fatou Diallo,22624.57,51000,Standard Bank ZA,2024-03-14
TXN0214,Europe,Bob Dupont,9359.2,58000,Allianz DE,2024-10-20
TXN0215,Europe,Alice Martin,14470.32,62000,BNP Paribas FR,2024-01-27
TXN0216,Afrique,David Osei,43804.89,54000,Standard Bank ZA,2024-04-15
TXN0217,Asie,Emma Zhang,3248.78,68000,MUFG JP,2024-08-06
TXN0218,Asie,Kenji Mori,10627.7,65000,MUFG JP,2024-09-10
TXN0219,Afrique,David Osei,54474.96,54000,Attijariwafa MA,2024-08-20
TXN0220,Asie,Kenji Mori,118749.96,65000,MUFG JP,2024-02-04
TXN0221,Europe,Bob Dupont,32110.22,58000,ING NL,2024-07-09
TXN0222,Europe,Clara Russo,12328.34,71000,Santander ES,2024-12-07
TXN0223,Europe,Alice Martin,3273.42,62000,Allianz DE,2024-03-02
TXN0224,Asie,Emma Zhang,81918.01,68000,DBS SG,2024-10-19
TXN0225,Europe,Alice Martin,28711.14,62000,Santander ES,2024-12-29
TXN0226,Afrique,David Osei,3958.18,54000,Standard Bank ZA,2024-10-17
TXN0227,Asie,Kenji Mori,13895.75,65000,DBS SG,2024-09-20
TXN0228,Afrique,Fatou Diallo,5970.77,51000,Ecobank GH,2024-08-03
TXN0229,Afrique,Fatou Diallo,19426.85,51000,Attijariwafa MA,2024-02-17
TXN0230,Afrique,Fatou Diallo,27736.76,51000,Attijariwafa MA,2024-07-25
TXN0231,Europe,Alice Martin,854.45,62000,Barclays UK,2024-09-04
TXN0232,Afrique,David Osei,14565.93,54000,Ecobank GH,2024-07-09
TXN0233,Asie,Emma Zhang,21953.2,68000,MUFG JP,2024-07-07
TXN0234,Europe,Alice Martin,1123.4,62000,Barclays UK,2024-06-28
TXN0235,Europe,Alice Martin,6572.67,62000,Allianz DE,2024-11-04
TXN0236,Europe,Alice Martin,2002.37,62000,BNP Paribas FR,2024-02-13
TXN0237,Europe,Bob Dupont,78522.37,58000,Allianz DE,2024-06-27
TXN0238,Europe,Clara Russo,36897.56,71000,BNP Paribas FR,2024-08-28
TXN0239,Afrique,David Osei,6733.62,54000,Attijariwafa MA,2024-03-17
TXN0240,Europe,Clara Russo,48154.31,71000,ING NL,2024-09-01
TXN0241,Asie,Emma Zhang,17667.0,68000,MUFG JP,2024-10-25
TXN0242,Afrique,David Osei,18479.4,54000,Standard Bank ZA,2024-10-05
TXN0243,Europe,Alice Martin,4740.92,62000,BNP Paribas FR,2024-07-13
TXN0244,Europe,Alice Martin,11125.25,62000,Santander ES,2024-04-24
TXN0245,Europe,Alice Martin,21164.33,62000,Barclays UK,2024-02-01
TXN0246,Europe,Alice Martin,3750.92,62000,ING NL,2024-12-07
TXN0247,Afrique,David Osei,11498.7,54000,Ecobank GH,2024-02-16
TXN0248,Afrique,David Osei,5473.61,54000,Ecobank GH,2024-09-23
TXN0249,Europe,Bob Dupont,4980.57,58000,Allianz DE,2024-05-11
TXN0250,Europe,Alice Martin,36800.34,62000,ING NL,2024-10-11
TXN0251,Asie,Kenji Mori,13544.17,65000,MUFG JP,2024-08-25
TXN0252,Europe,Alice Martin,37352.41,62000,ING NL,2024-12-26
TXN0253,Europe,Bob Dupont,36687.23,58000,BNP Paribas FR,2024-06-03
TXN0254,Europe,Bob Dupont,218203.57,58000,Barclays UK,2024-02-13
TXN0255,Afrique,David Osei,10444.24,54000,Attijariwafa MA,2024-02-14
TXN0256,Asie,Kenji Mori,91592.55,65000,DBS SG,2024-02-14
TXN0257,Afrique,David Osei,7713.76,54000,Standard Bank ZA,2024-07-17
TXN0258,Europe,Alice Martin,64309.38,62000,Barclays UK,2024-01-05
TXN0259,Europe,Bob Dupont,1953.33,58000,Santander ES,2024-06-06
TXN0260,Asie,Emma Zhang,1955.63,68000,ICBC CN,2024-04-17
TXN0261,Afrique,David Osei,5151.47,54000,Ecobank GH,2024-01-05
TXN0262,Europe,Bob Dupont,25059.93,58000,Allianz DE,2024-04-20
TXN0263,Europe,Clara Russo,18611.39,71000,Barclays UK,2024-07-17
TXN0264,Europe,Bob Dupont,835.37,58000,Allianz DE,2024-02-10
TXN0265,Europe,Bob Dupont,14260.15,58000,Santander ES,2024-09-06
TXN0266,Europe,Clara Russo,23185.05,71000,Allianz DE,2024-04-13
TXN0267,Europe,Alice Martin,31018.66,62000,BNP Paribas FR,2024-08-30
TXN0268,Afrique,David Osei,6033.91,54000,Attijariwafa MA,2024-12-30
TXN0269,Afrique,Fatou Diallo,15770.39,51000,Standard Bank ZA,2024-08-15
TXN0270,Europe,Alice Martin,17589.43,62000,ING NL,2024-02-03
TXN0271,Europe,Bob Dupont,25237.28,58000,BNP Paribas FR,2024-03-30
TXN0272,Asie,Emma Zhang,10769.42,68000,MUFG JP,2024-03-28
TXN0273,Europe,Bob Dupont,16917.96,58000,ING NL,2024-10-22
TXN0274,Europe,Alice Martin,8329.1,62000,Santander ES,2024-03-13
TXN0275,Europe,Clara Russo,24969.26,71000,BNP Paribas FR,2024-11-27
TXN0276,Afrique,David Osei,11602.19,54000,Standard Bank ZA,2024-01-14
TXN0277,Afrique,Fatou Diallo,36149.66,51000,Ecobank GH,2024-10-26
TXN0278,Europe,Clara Russo,2819.27,71000,Santander ES,2024-08-09
TXN0279,Europe,Alice Martin,2256.07,62000,Allianz DE,2024-04-15
TXN0280,Europe,Clara Russo,5919.95,71000,ING NL,2024-11-06
TXN0281,Europe,Bob Dupont,32837.31,58000,Barclays UK,2024-12-19
TXN0282,Asie,Emma Zhang,16938.56,68000,DBS SG,2024-12-04
TXN0283,Europe,Bob Dupont,49368.16,58000,BNP Paribas FR,2024-10-26
TXN0284,Europe,Alice Martin,12296.06,62000,Barclays UK,2024-11-01
TXN0285,Asie,Kenji Mori,67799.02,65000,DBS SG,2024-07-19
TXN0286,Europe,Bob Dupont,4890.85,58000,Allianz DE,2024-08-17
TXN0287,Asie,Kenji Mori,6546.72,65000,MUFG JP,2024-10-23
TXN0288,Asie,Kenji Mori,4601.97,65000,ICBC CN,2024-09-25
TXN0289,Afrique,Fatou Diallo,8693.93,51000,Standard Bank ZA,2024-02-06
TXN0290,Europe,Bob Dupont,105337.4,58000,Barclays UK,2024-09-16
TXN0291,Europe,Alice Martin,2543.72,62000,Santander ES,2024-07-04
TXN0292,Europe,Clara Russo,3832.79,71000,Allianz DE,2024-01-20
TXN0293,Afrique,Fatou Diallo,23614.98,51000,Attijariwafa MA,2024-03-20
TXN0294,Asie,Kenji Mori,1484.62,65000,ICBC CN,2024-11-18
TXN0295,Afrique,David Osei,40698.9,54000,Standard Bank ZA,2024-05-15
TXN0296,Europe,Clara Russo,7039.69,71000,Santander ES,2024-02-03
TXN0297,Europe,Bob Dupont,3700.77,58000,Santander ES,2024-08-04
TXN0298,Europe,Clara Russo,22325.14,71000,BNP Paribas FR,2024-06-16
TXN0299,Afrique,David Osei,10645.65,54000,Attijariwafa MA,2024-11-14
TXN0300,Afrique,David Osei,20625.97,54000,Ecobank GH,2024-07-27
